RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
2040;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;INDUMENTARIA;INDUMENTARIA
2041;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2042;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2043;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;FARMACIA Y ÓPTICA
2044;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;LIBRERÍA
2045;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2046;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2047;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;INDUMENTARIA;INDUMENTARIA
2048;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2049;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2050;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;INDUMENTARIA;INDUMENTARIA
2051;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;SUPERMERCADOS;SUPERMERCADOS
2052;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;SUPERMERCADOS;SUPERMERCADOS
2053;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2054;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2055;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2056;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2057;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2058;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2059;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2060;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2061;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2062;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;AUTOMOVIL;AUTOMOVIL
2063;PROMOCIONES;OTROS;PROMOCIONES;OTROS;1;OTROS;OTROS
2064;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2065;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2066;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2067;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2068;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2069;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2070;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2071;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2072;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2073;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2074;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;SALUD
2075;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2076;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;SALUD
2077;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;ENTRETENIMIENTO Y RECREACION
2078;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
